netName,util,cp,bboxArea,bboxAr,numPins,numVias
clk,65,1600,2611.981,0.312,7,17
rst,65,1600,20.160,1.556,4,5
done,65,1600,0.000,0.000,2,0
{key[127]},65,1600,0.000,0.000,2,0
{key[126]},65,1600,0.000,0.000,2,0
{key[125]},65,1600,0.000,0.000,2,0
{key[124]},65,1600,0.000,0.000,2,0
{key[123]},65,1600,0.000,0.000,2,0
{key[122]},65,1600,0.000,0.000,2,0
{key[121]},65,1600,0.000,0.000,2,0
{key[120]},65,1600,0.000,0.000,2,0
{key[119]},65,1600,0.000,0.000,2,0
{key[118]},65,1600,0.000,0.000,2,0
{key[117]},65,1600,0.000,0.000,2,0
{key[116]},65,1600,0.000,0.000,2,0
{key[115]},65,1600,0.000,0.000,2,0
{key[114]},65,1600,0.000,0.000,2,0
{key[113]},65,1600,0.000,0.000,2,0
{key[112]},65,1600,0.000,0.000,2,0
{key[111]},65,1600,0.000,0.000,2,0
{key[110]},65,1600,0.000,0.000,2,0
{key[109]},65,1600,0.000,0.000,2,0
{key[108]},65,1600,0.000,0.000,2,0
{key[107]},65,1600,0.000,0.000,2,0
{key[106]},65,1600,0.000,0.000,2,0
{key[105]},65,1600,0.000,0.000,2,0
{key[104]},65,1600,0.000,0.000,2,0
{key[103]},65,1600,0.000,0.000,2,0
{key[102]},65,1600,0.000,0.000,2,0
{key[101]},65,1600,0.000,0.000,2,0
{key[100]},65,1600,0.000,0.000,2,0
{key[99]},65,1600,0.000,0.000,2,0
{key[98]},65,1600,0.000,0.000,2,0
{key[97]},65,1600,0.000,0.000,2,0
{key[96]},65,1600,0.000,0.000,2,0
{key[95]},65,1600,0.000,0.000,2,0
{key[94]},65,1600,0.000,0.000,2,0
{key[93]},65,1600,0.000,0.000,2,0
{key[92]},65,1600,0.000,0.000,2,0
{key[91]},65,1600,0.000,0.000,2,0
{key[90]},65,1600,0.000,0.000,2,0
{key[89]},65,1600,0.000,0.000,2,0
{key[88]},65,1600,0.000,0.000,2,0
{key[87]},65,1600,0.000,0.000,2,0
{key[86]},65,1600,0.000,0.000,2,0
{key[85]},65,1600,0.000,0.000,2,0
{key[84]},65,1600,0.000,0.000,2,0
{key[83]},65,1600,0.000,0.000,2,0
{key[82]},65,1600,0.000,0.000,2,0
{key[81]},65,1600,0.000,0.000,2,0
{key[80]},65,1600,0.000,0.000,2,0
{key[79]},65,1600,0.000,0.000,2,0
{key[78]},65,1600,0.000,0.000,2,0
{key[77]},65,1600,0.000,0.000,2,0
{key[76]},65,1600,0.000,0.000,2,0
{key[75]},65,1600,0.000,0.000,2,0
{key[74]},65,1600,0.000,0.000,2,0
{key[73]},65,1600,0.000,0.000,2,0
{key[72]},65,1600,0.000,0.000,2,0
{key[71]},65,1600,0.000,0.000,2,0
{key[70]},65,1600,0.000,0.000,2,0
{key[69]},65,1600,0.000,0.000,2,0
{key[68]},65,1600,0.000,0.000,2,0
{key[67]},65,1600,0.000,0.000,2,0
{key[66]},65,1600,0.000,0.000,2,0
{key[65]},65,1600,0.000,0.000,2,0
{key[64]},65,1600,0.000,0.000,2,0
{key[63]},65,1600,0.000,0.000,2,0
{key[62]},65,1600,0.000,0.000,2,0
{key[61]},65,1600,0.000,0.000,2,0
{key[60]},65,1600,0.000,0.000,2,0
{key[59]},65,1600,0.000,0.000,2,0
{key[58]},65,1600,0.000,0.000,2,0
{key[57]},65,1600,0.000,0.000,2,0
{key[56]},65,1600,0.000,0.000,2,0
{key[55]},65,1600,0.000,0.000,2,0
{key[54]},65,1600,0.000,0.000,2,0
{key[53]},65,1600,0.000,0.000,2,0
{key[52]},65,1600,0.000,0.000,2,0
{key[51]},65,1600,0.000,0.000,2,0
{key[50]},65,1600,0.000,0.000,2,0
{key[49]},65,1600,0.000,0.000,2,0
{key[48]},65,1600,0.000,0.000,2,0
{key[47]},65,1600,0.000,0.000,2,0
{key[46]},65,1600,0.000,0.000,2,0
{key[45]},65,1600,0.000,0.000,2,0
{key[44]},65,1600,0.000,0.000,2,0
{key[43]},65,1600,0.000,0.000,2,0
{key[42]},65,1600,0.000,0.000,2,0
{key[41]},65,1600,0.000,0.000,2,0
{key[40]},65,1600,0.000,0.000,2,0
{key[39]},65,1600,0.000,0.000,2,0
{key[38]},65,1600,0.000,0.000,2,0
{key[37]},65,1600,0.000,0.000,2,0
{key[36]},65,1600,0.000,0.000,2,0
{key[35]},65,1600,0.000,0.000,2,0
{key[34]},65,1600,0.000,0.000,2,0
{key[33]},65,1600,0.000,0.000,2,0
{key[32]},65,1600,0.000,0.000,2,0
{key[31]},65,1600,0.000,0.000,2,0
{key[30]},65,1600,0.000,0.000,2,0
{key[29]},65,1600,0.000,0.000,2,0
{key[28]},65,1600,0.000,0.000,2,0
{key[27]},65,1600,0.000,0.000,2,0
{key[26]},65,1600,0.000,0.000,2,0
{key[25]},65,1600,0.000,0.000,2,0
{key[24]},65,1600,0.000,0.000,2,0
{key[23]},65,1600,0.000,0.000,2,0
{key[22]},65,1600,0.000,0.000,2,0
{key[21]},65,1600,0.000,0.000,2,0
{key[20]},65,1600,0.000,0.000,2,0
{key[19]},65,1600,0.000,0.000,2,0
{key[18]},65,1600,0.000,0.000,2,0
{key[17]},65,1600,0.000,0.000,2,0
{key[16]},65,1600,0.000,0.000,2,0
{key[15]},65,1600,0.000,0.000,2,0
{key[14]},65,1600,0.000,0.000,2,0
{key[13]},65,1600,0.000,0.000,2,0
{key[12]},65,1600,0.000,0.000,2,0
{key[11]},65,1600,0.000,0.000,2,0
{key[10]},65,1600,0.000,0.000,2,0
{key[9]},65,1600,0.000,0.000,2,0
{key[8]},65,1600,0.000,0.000,2,0
{key[7]},65,1600,0.000,0.000,2,0
{key[6]},65,1600,0.000,0.000,2,0
